,Agency,Avg Days Till Completion
474,Chula Vista Police Department,030 days 09:43:20
475,Cincinnati Police Department,097 days 20:21:37
476,Citrus County Sheriff's Office,069 days 07:56:56
477,Citrus Heights Police Department,204 days 08:25:03
478,City Of Allen Police Department,038 days 00:38:22
479,City Of Bridgeport Police Department,024 days 05:33:21
480,City University Of New York Public Safety Department,037 days 03:34:31
481,City of Albany Police Department,211 days 20:16:12
482,City of Canton Police Department,015 days 20:00:00
483,City of Fort Collins Police Department,035 days 17:07:37
484,City of Fort Lauderdale Police Department,016 days 09:04:32
485,City of North Las Vegas Police Department,045 days 21:54:13
486,City of Ocoee Police Department,046 days 20:00:00
487,City of San Luis Obispo Police Department,013 days 06:25:45
488,City of Santa Barbara Police Department,029 days 20:39:59
489,City of Westminster Police,039 days 13:02:05
490,City of Winnfield Police Department,162 days 20:00:00
491,Clackamas County Sheriff's Office,017 days 22:20:28
492,Claiborne Parish Sheriff's Office,336 days 20:00:00
493,Clare County Sheriff's Office,06 days 21:32:48
494,Claremont Police Department,07 days 16:39:52
495,Clark County Sheriff,218 days 17:23:35
496,Clark County Sheriff's Department,113 days 13:39:20
497,Clark County Sheriff's Office,050 days 06:16:50
498,Clarkstown Police Department (NY),166 days 15:52:32
499,Clarksville Police Department,020 days 18:36:55
500,Clatskanie Police Department,071 days 05:25:56
501,Clay County Sheriff,00 days 23:45:02
502,Clay County Sheriff's Office,028 days 08:17:58
503,Clayton County Police Department,329 days 22:39:23
504,Clayton County Sheriff,042 days 07:41:05
505,Clayton County Sheriffs Office,088 days 17:56:50
506,Clayton Police Department,03 days 11:17:46
507,Clayton Police Department (MO),021 days 20:05:11
508,Clayton Village Police Department,07 days 09:29:38
509,Clear Creek County Sheriff,010 days 21:51:00
510,Clearwater County Sheriff's Office,09 days 08:06:50
511,Clearwater Police Department,095 days 01:03:36
512,Cleburne Police Department,039 days 18:06:34
513,Cleveland County Sheriff,108 days 23:14:15
514,Cleveland County Sheriff's Office,03 days 10:14:22
515,Cleveland Heights Police Department,045 days 21:10:18
516,Cleveland Police Department,207 days 23:41:25
