,Agency,Avg Days Till Completion
408,Catahoula Parish Sheriff's Office,52 days 20:00:00
409,Catawba County Sheriff,34 days 05:06:38.246208500
410,Cathedral City Police Department,27 days 11:46:59.321779500
411,Cayuga Heights Police Department,78 days 12:27:49.069621
412,Cecil County Sheriff's Office,23 days 06:25:50.445866400
413,Cedar Park Police Department,36 days 02:24:31.978034
414,Cedar Rapids Police Department,27 days 00:49:51.126783400
415,Cedartown Police Department,1 days 04:54:45.326573
416,Celina Police Department,34 days 20:00:00
417,Centerville Police Department,89 days 15:27:58.923006
418,Central Connecticut State University Police Department,23 days 00:41:01.952673
419,Central Falls Police Department,38 days 16:09:39.097663600
420,Central Marin Police Authority,43 days 23:27:35.048179666
421,Centre Island Village Police Department,68 days 15:24:55.671412
422,Ceres Police Department,19 days 19:24:07.194452
423,Chadron Police Department,0 days 17:52:30.101041
424,Chaffee County Sheriff,4 days 07:38:57.840012
425,Chambersburg Police Department,15 days 07:39:10.418376
426,Champaign County Sheriff,4 days 21:33:00.541355
427,Champaign Police Department,12 days 23:27:08.798123333
428,Chandler Police Department,88 days 10:25:06.558569863
429,Chapel Hill Police Department,70 days 13:50:23.520335279
430,Chardon Police,0 days 20:00:00
431,Charles County Sheriff's Office,158 days 04:58:40
432,Charleston County Sheriff's Office,69 days 20:55:03.051836333
433,Charleston Police Department,32 days 04:46:29.916847923
434,Charlestown Police Department,1 days 14:00:00
435,Charlotte County Sheriff's Office,28 days 00:27:12.181799400
436,Charlotte-Mecklenburg Police Department,100 days 04:43:19.624799143
437,Charlottesville Police Department,141 days 23:40:31.030929222
438,Chatham County Sheriff,24 days 16:26:16.148560
439,Chatham County Sheriff's Office,35 days 02:01:32.787986
440,Chatham County Sheriffs Office,11 days 22:17:55.781546
441,Chatham Township Police Department,12 days 00:00:58.146943
442,Chattahoochee Hills Police,20 days 20:27:55.976894
443,Chattanooga Police Department,7 days 18:53:09.060917
444,Chattooga County Sheriff's Office,10 days 18:44:02.451356
445,Chaves County Sheriff's Office,1 days 07:30:00
446,Cheatham County Sheriff’s Office,446 days 06:22:07.358083
447,Cheektowaga Police Department,335 days 21:25:34.480519
448,Chelan County Sheriff,14 days 01:58:42.144886
449,Chelmsford Police Department,35 days 19:40:00
450,Chelsea Police Department,539 days 15:55:22.561228720
451,Chemung County Sheriff,20 days 00:51:43.147911
452,Chenango County Sheriff's Office,4 days 08:29:59.956104500
453,Cherokee County Sheriff's Office,17 days 11:06:56.274424333
454,Chesapeake City Police Department,38 days 21:32:00.427112538
455,Chester Police Department,180 days 20:00:00
456,Chesterfield Police Department,9 days 06:52:33.261604200
457,Chevy Chase Police,1 days 22:06:47.118730
458,Cheyenne County Sheriff,13 days 23:09:29.564773
459,Chicago City Council Committee On Public Safety,51 days 22:10:44.593090
460,Chicago Office Of Police Accountability,16 days 09:26:38.230085500
461,Chicago Police Department,64 days 15:20:39.193454091
462,Chichester Police Department,17 days 17:07:01.411346
463,Chickasaw Nation Lighthorse Police Department,48 days 20:00:00
464,Chico Police Department,68 days 07:59:39.423632833
465,Chicopee Police Department,14 days 07:30:00
466,Chillicothe Police,7 days 19:24:57.355552
467,Chino Police Department,292 days 10:10:10.045162248
468,Chisago County Sheriff,6 days 14:18:15.583021
469,Chittenango Village Police Department,237 days 15:24:53.143936
470,Chittenden County Sheriff's Department,2 days 20:00:00
471,Chowan County Sheriff's Office,13 days 04:30:20.044883
472,Christian County Sheriff MO,284 days 08:20:51.530913
473,Christian County Sheriff's Office,33 days 16:30:07.331612
474,Chula Vista Police Department,30 days 09:43:20.428095762
475,Cincinnati Police Department,97 days 20:21:36.982485355
476,Citrus County Sheriff's Office,69 days 07:56:56.250041333
477,Citrus Heights Police Department,204 days 08:25:03.064928250
478,City Of Allen Police Department,38 days 00:38:22.567491333
479,City Of Bridgeport Police Department,24 days 05:33:21.233742
480,City University Of New York Public Safety Department,37 days 03:34:30.542390
481,City of Albany Police Department,211 days 20:16:12.059602264
482,City of Canton Police Department,15 days 20:00:00
483,City of Fort Collins Police Department,35 days 17:07:37.273538600
484,City of Fort Lauderdale Police Department,16 days 09:04:31.990712733
485,City of North Las Vegas Police Department,45 days 21:54:12.920504750
486,City of Ocoee Police Department,46 days 20:00:00
487,City of San Luis Obispo Police Department,13 days 06:25:45.010845400
488,City of Santa Barbara Police Department,29 days 20:39:59.290593833
489,City of Westminster Police,39 days 13:02:04.831752
490,City of Winnfield Police Department,162 days 20:00:00
491,Clackamas County Sheriff's Office,17 days 22:20:28.231865750
492,Claiborne Parish Sheriff's Office,336 days 20:00:00
493,Clare County Sheriff's Office,6 days 21:32:48.303510
